,Timestamp,NO2(µg/m3),NO(µg/m3),O3(µg/m3),CO2(mg/m3),CO(mg/m3),H2S(µg/m3),PM1(µg/m3),PM2.5(µg/m3),PM10(µg/m3),VOC(mg/m3),T(C),RH(%),P(µg/m³),Wind_direction(degrees),Wind_Speed(m/s),gust(m/s)
0,2024-10-11 11:55:00,24.5,37.2,1.0,885.0,0.876,174.4,,,,1.4,22.36,56.8,1000.6,,,
1,2024-10-11 12:05:00,14.8,42.7,1.4,804.0,1.016,32.5,,,,1.0,25.29,48.8,1000.2,,,
2,2024-10-11 12:10:00,11.9,55.2,5.1,783.0,0.937,38.1,,,,1.1,25.04,50.0,1000.3,,,
3,2024-10-11 12:15:00,14.8,58.0,1.0,887.0,0.528,49.9,2.0,2.0,2.0,0.9,25.98,48.1,1000.3,356.0,0.1,1.1
4,2024-10-11 12:20:00,8.4,65.1,1.0,1109.0,0.489,39.7,3.0,3.0,3.0,1.0,25.94,49.4,1000.3,69.0,0.1,0.6
5,2024-10-11 12:25:00,58.4,61.6,1.0,756.0,0.477,18.6,2.0,3.0,3.0,0.5,26.92,44.7,1000.2,43.0,0.2,1.7
6,2024-10-11 12:30:00,55.0,38.0,8.2,750.0,0.297,26.2,1.0,2.0,2.0,0.6,25.73,45.4,1000.3,103.0,0.7,1.5
7,2024-10-11 12:35:00,61.2,33.7,7.7,766.0,0.383,26.3,1.0,2.0,2.0,0.6,27.42,43.1,1000.2,91.0,0.1,0.8
8,2024-10-11 12:40:00,60.3,30.2,4.4,756.0,0.356,19.8,1.0,2.0,2.0,0.7,27.3,44.0,1000.2,93.0,0.4,1.1
9,2024-10-11 12:45:00,40.9,26.3,10.8,734.0,0.219,22.4,1.0,1.0,1.0,0.6,25.27,46.3,1000.4,80.0,0.3,1.6
10,2024-10-11 12:50:00,39.2,17.8,17.1,739.0,0.217,28.9,1.0,1.0,1.0,0.4,24.91,47.0,1000.4,190.0,0.2,1.4
11,2024-10-11 12:55:00,39.7,9.2,20.9,737.0,0.233,23.8,3.0,4.0,4.0,0.4,24.31,47.9,1000.4,101.0,0.5,1.5
12,2024-10-11 13:00:00,41.5,5.7,23.5,744.0,0.243,29.7,1.0,1.0,1.0,0.4,24.15,49.1,1000.3,98.0,0.4,1.3
13,2024-10-11 13:05:00,45.4,4.6,22.3,735.0,0.29,4.4,1.0,2.0,2.0,0.4,24.94,47.7,1000.1,91.0,0.3,1.2
14,2024-10-11 13:10:00,44.7,5.5,24.6,742.0,0.292,0.0,1.0,1.0,1.0,0.4,25.58,44.9,1000.0,99.0,0.7,1.6
15,2024-10-11 13:15:00,40.1,5.1,28.5,732.0,0.273,0.0,1.0,1.0,1.0,0.4,25.6,43.4,999.9,94.0,0.4,1.5
16,2024-10-11 13:20:00,42.5,4.5,28.7,725.0,0.278,2.6,1.0,1.0,1.0,0.4,25.97,42.6,999.8,95.0,0.5,1.2
17,2024-10-11 13:25:00,39.4,4.8,31.3,726.0,0.251,0.0,1.0,1.0,1.0,0.4,26.5,41.7,999.8,106.0,0.9,2.6
18,2024-10-11 13:30:00,35.7,3.6,33.4,719.0,0.223,4.0,1.0,1.0,1.0,0.3,26.33,41.0,999.8,97.0,0.7,1.8
