,10m_u_component_of_wind,10m_v_component_of_wind,2m_dewpoint_temperature,2m_temperature,total_precipitation,skin_temperature,10m_u_component_of_neutral_wind,10m_v_component_of_neutral_wind,10m_wind_gust_since_previous_post_processing,instantaneous_10m_wind_gust,clear_sky_direct_solar_radiation_at_surface,downward_uv_radiation_at_the_surface,surface_latent_heat_flux,surface_net_solar_radiation,surface_net_thermal_radiation,cloud_base_height,total_cloud_cover,total_column_cloud_liquid_water,evaporation,surface_runoff,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,type_of_high_vegetation,type_of_low_vegetation,convective_precipitation,convective_rain_rate,total_column_rain_water,precipitation_type
2024-10-01 01:00:00,0.9135772,1.2035093,278.28784,278.73315,0.0,279.33936,0.64693785,1.0914183,1.9937248,1.8866091,0.0,0.0,-2067.72,3.5999988e-12,-254073.81,,0.0,6.1035156e-05,-8.167885e-07,0.0,2.8784122,2.9524508,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 02:00:00,0.35160273,0.55572814,278.0122,278.38647,0.0,278.81274,0.14474362,0.44012696,1.9815626,1.8848772,0.0,0.0,-1634.28,3.5999988e-12,-250659.12,7186.2773,0.0,6.1035156e-05,-6.7825425e-07,0.0,2.8767672,2.9523869,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 03:00:00,-0.07252568,0.27796447,277.71484,277.90942,0.0,278.52563,-0.05404114,0.28409177,1.9749537,1.9594173,0.0,0.0,-1391.72,3.5999988e-12,-243350.44,6968.578,0.08539182,9.277342e-05,-5.7823956e-07,0.0,2.8752441,2.952324,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 04:00:00,-0.10532838,0.7143463,277.86035,278.06226,0.0,278.38354,-0.1373108,0.6534973,2.1019878,2.119154,0.0,0.0,-1458.04,3.5999988e-12,-238384.06,,0.26626337,0.00013916014,-5.752593e-07,0.0,2.873598,2.952138,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 05:00:00,0.10363096,1.2644987,277.68408,277.91382,0.0,278.27905,0.039910275,1.0832348,2.1244593,2.0031643,0.0,0.0,-1405.6401,3.5999988e-12,-242355.5,,0.61546016,9.277342e-05,-5.568098e-07,0.0,2.871953,2.952075,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 06:00:00,0.23473692,1.3513803,277.74658,278.07886,0.0,278.2124,0.13323665,1.1336575,2.003251,1.9223175,0.0,8.0,-1258.8,3.5999988e-12,-245287.88,6849.2227,0.56464595,0.00031494116,-5.054288e-07,0.0,2.870307,2.951953,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 07:00:00,-0.17599857,1.3508816,278.27417,278.66333,0.0,280.38428,-0.20894659,1.4357901,2.2904873,2.4011059,107148.75,20515.2,-17238.043,162467.81,-248805.06,,0.7691467,0.0004858398,-6.8975805e-06,0.0,2.8687248,2.951826,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 08:00:00,-0.45526737,0.698728,279.323,280.3772,0.0,283.7229,-0.5277155,0.79863095,2.9972506,2.906846,509301.75,68734.69,-94000.625,559843.8,-246296.25,,0.6083996,0.00024536112,-3.759649e-05,0.0,2.867138,2.9517622,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 09:00:00,-0.748089,0.5067578,280.136,283.5017,0.0,286.86694,-0.84928226,0.5775091,3.336483,3.5213127,1019622.4,128153.56,-280617.75,1097349.0,-324540.06,6564.008,0.60969967,0.00040039048,-0.000112236274,0.0,2.8655558,2.9516401,5.0,1.0,0.0,0.0,0.0,0.0
2024-10-01 10:00:00,-0.8782593,0.48165524,280.5774,286.26245,0.0,289.10425,-0.99466556,0.54969907,4.0355034,4.079712,1468232.0,184789.06,-474832.44,1506445.0,-355140.2,5803.2617,0.3886853,0.0005541991,-0.000189886,0.0,2.8639107,2.9515762,5.0,1.0,0.0,0.0,0.0,0.0
