,timestamp,car_no,truck_no,bus_no,motorcycle_no
0,2024-10-22 23:21:24,0,0,0,1
1,2024-10-22 23:21:24,0,0,0,1
2,2024-10-22 23:22:06,0,1,0,0
3,2024-10-22 23:24:25,0,1,0,0
4,2024-10-22 23:43:26,1,0,0,0
5,2024-10-22 23:43:31,1,0,0,0
6,2024-10-23 01:25:12,0,1,0,0
7,2024-10-23 03:30:13,1,0,0,0
8,2024-10-23 03:30:22,0,1,0,0
9,2024-10-23 03:30:45,0,1,0,0
10,2024-10-23 03:31:02,0,1,0,0
11,2024-10-23 04:22:05,0,1,0,0
12,2024-10-23 05:38:30,0,1,0,0
13,2024-10-23 05:39:15,0,1,0,0
14,2024-10-23 06:05:49,0,1,0,0
15,2024-10-23 06:15:55,1,0,0,0
16,2024-10-23 06:16:55,0,1,0,0
17,2024-10-23 06:20:27,1,0,0,0
18,2024-10-23 06:24:20,0,1,0,0
19,2024-10-23 06:24:33,0,0,1,0
20,2024-10-23 06:24:53,0,1,0,0
21,2024-10-23 06:25:48,1,0,0,0
22,2024-10-23 06:27:21,1,0,0,0
23,2024-10-23 06:27:26,1,0,0,0
24,2024-10-23 06:35:53,1,0,0,0
25,2024-10-23 06:41:30,1,0,0,0
26,2024-10-23 06:44:05,1,0,0,0
27,2024-10-23 06:44:06,1,0,0,0
28,2024-10-23 06:44:16,1,0,0,0
29,2024-10-23 06:48:12,1,0,0,0
30,2024-10-23 06:49:13,1,0,0,0
31,2024-10-23 06:49:20,1,0,0,0
32,2024-10-23 06:55:58,1,0,0,0
33,2024-10-23 06:56:32,1,0,0,0
34,2024-10-23 07:15:12,1,0,0,0
35,2024-10-23 07:23:08,0,1,0,0
36,2024-10-23 07:41:36,0,1,0,0
37,2024-10-23 07:42:31,1,0,0,0
38,2024-10-23 07:44:29,1,0,0,0
39,2024-10-23 07:45:08,1,0,0,0
40,2024-10-23 07:46:15,1,0,0,0
41,2024-10-23 07:49:06,1,0,0,0
42,2024-10-23 07:49:36,1,0,0,0
43,2024-10-23 07:57:46,1,0,0,0
44,2024-10-23 07:59:20,1,0,0,0
45,2024-10-23 08:02:12,1,0,0,0
46,2024-10-23 08:06:00,1,0,0,0
47,2024-10-23 08:10:32,0,1,0,0
48,2024-10-23 08:12:46,1,0,0,0
49,2024-10-23 08:14:34,1,0,0,0
50,2024-10-23 08:14:48,0,1,0,0
51,2024-10-23 08:16:24,0,1,0,0
52,2024-10-23 08:20:56,1,0,0,0
53,2024-10-23 08:21:37,1,0,0,0
54,2024-10-23 08:22:06,1,0,0,0
55,2024-10-23 08:25:14,1,0,0,0
56,2024-10-23 08:25:33,1,0,0,0
57,2024-10-23 08:25:37,1,0,0,0
58,2024-10-23 08:28:04,1,0,0,0
59,2024-10-23 08:29:50,1,0,0,0
60,2024-10-23 08:30:09,1,0,0,0
61,2024-10-23 08:38:25,0,0,0,1
62,2024-10-23 08:39:36,0,0,0,1
63,2024-10-23 08:43:39,0,1,0,0
64,2024-10-23 08:57:11,1,0,0,0
65,2024-10-23 09:05:49,0,1,0,0
66,2024-10-23 09:07:08,1,0,0,0
67,2024-10-23 09:07:22,0,1,0,0
68,2024-10-23 09:15:17,0,1,0,0
69,2024-10-23 09:22:59,0,1,0,0
70,2024-10-23 09:31:15,1,0,0,0
71,2024-10-23 09:34:23,0,1,0,0
72,2024-10-23 09:37:42,0,1,0,0
73,2024-10-23 09:38:22,1,0,0,0
74,2024-10-23 09:38:38,1,0,0,0
75,2024-10-23 09:43:02,1,0,0,0
76,2024-10-23 09:43:52,1,0,0,0
77,2024-10-23 09:45:24,1,0,0,0
78,2024-10-23 09:46:02,1,0,0,0
79,2024-10-23 09:46:20,1,0,0,0
80,2024-10-23 09:46:29,1,0,0,0
81,2024-10-23 09:46:46,1,0,0,0
82,2024-10-23 09:48:02,1,0,0,0
83,2024-10-23 09:48:29,1,0,0,0
84,2024-10-23 09:48:48,1,0,0,0
85,2024-10-23 09:50:15,0,1,0,0
86,2024-10-23 09:51:42,1,0,0,0
87,2024-10-23 09:53:22,0,1,0,0
88,2024-10-23 10:04:06,1,0,0,0
89,2024-10-23 10:04:20,1,0,0,0
90,2024-10-23 10:05:02,1,0,0,0
91,2024-10-23 10:05:18,1,0,0,0
92,2024-10-23 10:09:14,1,0,0,0
93,2024-10-23 10:10:10,1,0,0,0
94,2024-10-23 10:10:19,1,0,0,0
95,2024-10-23 10:11:06,1,0,0,0
96,2024-10-23 10:14:36,1,0,0,0
97,2024-10-23 10:18:23,1,0,0,0
98,2024-10-23 10:18:26,1,0,0,0
99,2024-10-23 10:20:42,0,1,0,0
100,2024-10-23 10:21:02,0,1,0,0
101,2024-10-23 10:21:03,0,1,0,0
102,2024-10-23 10:21:56,1,0,0,0
103,2024-10-23 10:22:47,1,0,0,0
104,2024-10-23 10:25:21,0,1,0,0
105,2024-10-23 10:26:38,1,0,0,0
106,2024-10-23 10:30:30,1,0,0,0
107,2024-10-23 10:30:32,1,0,0,0
108,2024-10-23 10:30:52,1,0,0,0
109,2024-10-23 10:32:08,1,0,0,0
110,2024-10-23 10:33:35,1,0,0,0
111,2024-10-23 10:34:28,0,0,0,1
112,2024-10-23 10:34:58,0,1,0,0
113,2024-10-23 10:35:07,0,1,0,0
114,2024-10-23 10:42:14,0,0,0,1
115,2024-10-23 10:45:51,1,0,0,0
116,2024-10-23 10:54:20,1,0,0,0
117,2024-10-23 10:59:49,0,1,0,0
118,2024-10-23 11:00:20,1,0,0,0
119,2024-10-23 11:01:41,1,0,0,0
120,2024-10-23 11:01:43,1,0,0,0
121,2024-10-23 11:02:03,1,0,0,0
122,2024-10-23 11:02:45,1,0,0,0
123,2024-10-23 11:02:49,0,0,0,1
124,2024-10-23 11:08:39,1,0,0,0
125,2024-10-23 11:14:50,1,0,0,0
126,2024-10-23 11:15:08,1,0,0,0
127,2024-10-23 11:20:33,1,0,0,0
128,2024-10-23 11:24:01,1,0,0,0
129,2024-10-23 11:29:51,0,1,0,0
130,2024-10-23 11:30:28,1,0,0,0
131,2024-10-23 11:33:57,1,0,0,0
132,2024-10-23 11:40:00,1,0,0,0
133,2024-10-23 11:41:33,1,0,0,0
134,2024-10-23 11:43:50,1,0,0,0
135,2024-10-23 11:47:00,0,1,0,0
136,2024-10-23 11:52:39,1,0,0,0
137,2024-10-23 11:53:00,1,0,0,0
138,2024-10-23 12:01:58,1,0,0,0
139,2024-10-23 12:14:31,0,1,0,0
140,2024-10-23 12:16:48,1,0,0,0
141,2024-10-23 12:17:14,1,0,0,0
142,2024-10-23 12:17:38,1,0,0,0
143,2024-10-23 12:18:11,1,0,0,0
144,2024-10-23 12:23:53,0,1,0,0
145,2024-10-23 12:25:41,1,0,0,0
146,2024-10-23 12:25:55,1,0,0,0
147,2024-10-23 12:28:15,1,0,0,0
148,2024-10-23 12:28:44,0,1,0,0
149,2024-10-23 12:31:40,1,0,0,0
